Country,max temp,min temp,avg temp,avg rainfall,Cost of Living pw,pop2020,pop2019,GrowthRate,area,Density,Crime Index,Safety Index,Health Care Index,Pollution Index,CPI score 2020,Score,Political Rights,Civil Liberties,score_temp_variability,score_temp_optimality,score_sunshine,score_density,score_safety,score_corruption,score_healthcare,score_air_purity,score_freedom,score_ppp,score_income_proxy,utility_score,data_completeness
Botswana,32.11111111,5.277777778,20.94444444,441.96,602.9589218435322,2351.627,2303.697,1.0208,582000.0,3.9582,52.84,47.16,,,60.0,72.0,28.0,44.0,16.333333335999995,53.72222220399997,,63.9582,47.16,60.0,,,88.0,78.13215606197332,89.81838748850501,44.96394924627989,8
Belgium,21.44444444,-0.777777778,9.333333333,840.74,1173.926530688719,11589.623,11539.328,1.0044,30528.0,377.9916,44.17,55.83,75.2,50.27,76.0,96.0,39.0,57.0,31.11111112799999,0.0,,74.42917142857142,55.83,76.0,75.2,49.73,100.0,64.46553029018119,54.77357491553053,44.6966978488927,10
Lithuania,21.16666667,-7.0,6.333333333,668.02,624.1198475975893,2722.289,2759.627,0.9865,65300.0,42.2608,33.84,66.16,70.97,27.01,60.0,90.0,38.0,52.0,13.666666659999997,0.0,,97.18261333333334,66.16,60.0,70.97,72.99,100.0,42.63027677544324,88.51957357080931,44.52786231184912,10
Nigeria,34.22222222,19.05555556,26.72222222,1282.7,1005.345910116954,206139.589,200963.599,1.0258,923768.0,217.5477,63.86,36.14,48.89,87.35,25.0,45.0,21.0,24.0,59.33333336,36.666666700000015,,85.49682,36.14,25.0,48.89,12.650000000000006,47.5,5.357783431631283,65.12070522529054,43.64345680418262,10
Tunisia,32.44444444,6.444444444,18.33333333,411.48,294.8104745414111,11818.619,11694.719,1.0106,163610.0,71.4792,43.4,56.6,56.16,70.85,44.0,71.0,32.0,39.0,18.000000008,31.333333372000013,,95.23472,56.6,44.0,56.16,29.150000000000006,86.5,0.0,100.0,43.556961676875,10
Slovakia,22.27777778,-7.111111111,6.222222222,665.48,710.639208797774,5459.642,5457.013,1.0005,49037.0,111.2836,29.74,70.26,60.89,39.08,49.0,90.0,37.0,53.0,11.222222217999999,0.0,,92.58109333333333,70.26,49.0,60.89,60.92,100.0,52.71331245058145,83.20919387461875,42.44446108884585,10
Yemen,33.77777778,20.66666667,27.05555556,53.34,535.3202929473836,29825.964,29161.922,1.0228,527968.0,55.2343,,,,,15.0,11.0,1.0,10.0,75.11111112,42.88888882,,96.31771333333333,,15.0,,,11.0,47.12850015510283,92.15599023508722,42.16263771959521,7
Poland,23.83333333,-8.444444444,7.0,624.84,696.9420627043658,37846.611,37887.768,0.9989,312679.0,121.1715,29.32,70.68,58.25,54.33,56.0,82.0,34.0,48.0,5.444444451999999,0.0,,91.9219,70.68,56.0,58.25,45.67,100.0,67.1515929077141,84.04989641219176,41.466184056369116,10
Oman,37.33333333,14.55555556,26.55555556,96.52,782.9788478458356,5106.626,4974.986,1.0265,309500.0,16.0743,20.26,79.74,58.42,37.59,54.0,23.0,6.0,17.0,28.88888892,5.0,,76.0743,79.74,54.0,58.42,62.41,23.0,20.963666883786992,78.76913623778822,40.733013396348454,10
Norway,16.11111111,-6.888888889,4.333333333,1122.68,1546.297937472999,5421.241,5378.857,1.0079,323802.0,16.6116,33.35,66.65,75.5,18.14,84.0,10.0,40.0,60.0,28.000000004,0.0,,76.6116,66.65,84.0,75.5,81.86,10.0,47.12850015510283,38.232086862946446,40.28951168950308,10
Jordan,33.11111111,4.611111111,18.61111111,200.66,606.0444952277186,10203.134,10101.694,1.01,89342.0,113.0677,40.73,59.27,65.38,76.09,49.0,34.0,11.0,23.0,13.000000001999993,18.05555556299995,,92.46215333333333,59.27,49.0,65.38,23.909999999999997,34.0,61.850503620909336,89.62900136702663,40.216631424923065,10
Montenegro,27.66666667,0.277777778,12.88888889,1363.98,531.7143096141066,628.066,627.987,1.0001,13812.0,45.4668,41.61,58.39,,46.91,45.0,63.0,24.0,39.0,15.222222215999999,18.27777778400001,,96.96888,58.39,45.0,,53.09,74.5,47.12850015510283,92.27618967952978,40.18709811466454,9
Bangladesh,33.16666667,12.22222222,25.33333333,2339.34,293.593415342844,164689.383,163046.161,1.0101,147570.0,1104.8734,64.22,35.78,42.7,84.91,26.0,39.0,15.0,24.0,36.222222200000004,52.49999995000003,,27.902532,35.78,26.0,42.7,15.090000000000003,39.0,3.847439869357899,100.0,39.78923433714738,10
Luxembourg,21.94444444,-2.055555556,8.166666667,822.96,1802.529576432116,625.978,615.729,1.0166,2586.0,238.1009,32.15,67.85,,23.27,80.0,97.0,38.0,59.0,24.000000016,0.0,,84.12660666666666,67.85,80.0,,76.73,100.0,47.12850015510283,27.996741374446117,39.73011551576347,9
Romania,25.22222222,-5.333333333,8.666666667,627.38,494.7060781900089,19237.691,19364.557,0.9934,238391.0,81.2302,28.35,71.65,56.09,58.42,44.0,83.0,35.0,48.0,8.888888894000004,0.0,,94.58465333333334,71.65,44.0,56.09,41.58,100.0,29.550394501175052,93.50979739366637,39.607872272323426,10
Hungary,25.94444444,-3.722222222,10.16666667,576.58,569.3819392124083,9660.351,9684.679,0.9975,93028.0,104.105,34.81,65.19,51.64,47.81,44.0,69.0,26.0,43.0,10.666666675999998,0.0,,93.05966666666666,65.19,44.0,51.64,52.19,83.5,47.12850015510283,91.02060202625306,39.39075638837641,10
Egypt,34.55555556,8.611111111,21.77777778,50.8,355.4941179843815,102334.404,100388.073,1.0194,1002450.0,100.1427,46.79,53.21,46.21,84.35,33.0,18.0,6.0,12.0,18.111111101999995,27.49999993299997,,93.32382,53.21,33.0,46.21,15.650000000000006,18.0,47.12850015510283,98.15019606718728,38.59508780279938,10
United States,29.94444444,0.944444444,11.55555556,876.3,1845.932323710688,331002.651,329064.917,1.0059,9372610.0,35.1092,47.74,52.26,69.03,38.89,67.0,83.0,32.0,51.0,12.000000007999994,13.611111132000005,,97.65938666666666,52.26,67.0,69.03,61.11,100.0,0.0,26.262989386007515,38.45132906516713,10
Finland,20.33333333,-11.66666667,2.555555556,556.26,1160.9852214766834,5540.72,5532.156,1.0015,338424.0,16.3468,27.01,72.99,76.4,11.86,85.0,10.0,40.0,60.0,6.0,0.0,,76.3468,72.99,85.0,76.4,88.14,10.0,56.460302287882854,55.56788574640581,38.43093675214304,10
United Arab Emirates,40.66666667,13.44444444,27.0,129.54,1308.968914776939,9890.402,9770.529,1.0123,83600.0,116.8724,15.35,84.65,68.02,50.44,71.0,17.0,5.0,12.0,15.55555554,5.0,,92.20850666666666,84.65,71.0,68.02,49.56,17.0,24.25388413111569,47.712354606657385,38.187449362152485,10
Serbia,26.61111111,-3.666666667,10.11111111,701.04,463.5340245683711,8737.371,8772.235,0.996,88361.0,99.2772,38.26,61.74,51.62,61.2,38.0,64.0,22.0,42.0,9.444444445999999,0.0,,93.38152,61.74,38.0,51.62,38.8,76.0,60.115654641046355,94.54886584772096,38.06259975311046,10
Bosnia And Herzegovina,25.05555556,-2.666666667,9.888888889,1061.72,424.0305250649595,3280.819,3301.0,0.9939,51209.0,64.4613,43.01,56.99,53.48,60.71,35.0,53.0,19.0,34.0,14.555555546,0.0,,95.70258,56.99,35.0,53.48,39.29,59.5,61.85166894147049,95.86564916450135,37.85089640731074,10
Lebanon,28.77777778,4.444444444,15.88888889,861.06,1078.7412487979468,6825.445,6855.713,0.9956,10452.0,655.9236,46.96,53.04,63.29,89.35,25.0,43.0,13.0,30.0,22.66666665599999,45.77777778200001,,54.57688571428572,53.04,25.0,63.29,10.650000000000006,44.5,0.0,60.61585092539839,37.76676826079276,10
Canada,22.77777778,-15.61111111,3.333333333,876.3,1305.8409156023918,37742.154,37411.047,1.0089,9984670.0,3.7468,41.19,58.81,71.8,28.13,77.0,98.0,40.0,58.0,0.0,0.0,,63.7468,58.81,77.0,71.8,71.87,100.0,48.51069039868534,47.83730464159177,37.39904969001732,10
Qatar,40.22222222,13.33333333,26.72222222,78.74,1646.0648046588417,2881.053,2832.067,1.0173,11586.0,244.4387,12.29,87.71,73.0,60.18,63.0,25.0,7.0,18.0,16.222222220000006,5.0,,83.70408666666667,87.71,63.0,73.0,39.82,25.0,28.46939271500625,34.24683212196047,37.30863057960209,10
Sweden,20.5,-8.555555556,4.611111111,574.04,1143.494604049353,10099.265,10036.379,1.0063,450295.0,22.2885,47.2,52.8,68.8,18.44,85.0,10.0,40.0,60.0,11.888888887999997,0.0,,98.5141,52.8,85.0,68.8,81.56,10.0,47.93316181633473,56.64142371954255,37.22873729024233,10
Saudi Arabia,38.44444444,10.44444444,25.33333333,124.46,669.0781227913335,34813.871,34268.528,1.0159,2149690.0,15.9411,25.93,74.07,60.71,64.13,53.0,7.0,1.0,6.0,14.0,5.0,,75.9411,74.07,53.0,60.71,35.870000000000005,7.0,60.045474966862514,85.76012749477775,37.060418903852515,10
Bulgaria,26.05555556,-3.777777778,9.666666667,627.38,471.6373260228086,6948.445,7000.119,0.9926,110879.0,63.133,38.12,61.88,56.13,64.48,44.0,78.0,33.0,45.0,10.333333324000002,0.0,,95.79113333333333,61.88,44.0,56.13,35.519999999999996,97.0,8.398686453197037,94.27875579923972,36.94032763873563,10
India,35.83333333,10.72222222,24.22222222,1267.46,354.63096910116394,1380004.385,1366417.754,1.0099,3287590.0,415.629,44.72,55.28,66.25,79.62,40.0,67.0,34.0,33.0,19.777777779999994,5.0,,71.74078571428572,55.28,40.0,66.25,20.379999999999995,80.5,12.088533782478642,98.17896769662786,36.651281838962014,10
Myanmar,34.83333333,14.05555556,25.83333333,2461.26,714.4345965908884,54409.8,54045.42,1.0067,676578.0,79.8805,47.17,52.83,,89.77,28.0,28.0,13.0,15.0,36.88888892,27.50000004999997,,94.67463333333333,52.83,28.0,,10.230000000000004,28.0,0.0,82.97624081074798,35.93137409619258,9
Czech Republic,20.94444444,-5.277777778,6.944444444,695.96,,10708.981,10689.209,1.0018,78865.0,135.5381,25.31,74.69,75.37,36.3,,91.0,36.0,55.0,17.555555563999995,0.0,,90.96412666666667,74.69,,75.37,63.7,100.0,31.550482124426452,,35.77556582906832,8
Armenia,26.61111111,-12.22222222,7.055555556,444.5,498.6923410932676,2963.243,2957.731,1.0019,29743.0,99.4429,23.35,76.65,,60.23,49.0,55.0,22.0,33.0,0.0,0.0,,93.37047333333334,76.65,49.0,,39.77,62.5,64.04060820533275,93.37692196355775,34.70987521888899,9
Turkey,29.55555556,-1.5,12.33333333,652.78,357.46879501964656,84339.067,83429.615,1.0109,783562.0,106.4748,39.53,60.47,70.71,66.15,40.0,32.0,16.0,16.0,7.888888880000003,10.166666650000003,,92.90168,60.47,40.0,70.71,33.849999999999994,32.0,0.0,98.08437349934512,34.48003111589657,10
Laos,33.22222222,14.55555556,24.66666667,1701.8,,7275.56,7169.455,1.0148,236800.0,30.2764,,,,78.76,29.0,13.0,2.0,11.0,45.33333336000001,51.666666700000015,,97.98157333333333,,29.0,,21.239999999999995,13.0,47.12850015510283,,34.24062960615227,7
Senegal,35.77777778,17.33333333,27.5,632.46,798.6047955207172,16743.927,16296.364,1.0275,196722.0,82.8396,,,,,45.0,71.0,29.0,42.0,46.22222219999999,5.0,,94.47736,,45.0,,,86.5,55.551759083998185,77.81004784282847,33.66355903917667,7
Bhutan,26.16666667,1.0,15.61111111,1084.58,410.6611208884679,771.608,763.092,1.0112,38394.0,19.8753,,,,,68.0,61.0,30.0,31.0,19.666666659999997,34.055555549999994,,79.8753,,68.0,,,71.5,31.553764300638193,96.3112959703844,33.45425862537641,7
Libya,33.16666667,6.888888889,20.16666667,187.96,603.3049984241751,6871.292,6777.452,1.0138,1759540.0,3.8518,62.0,38.0,,57.78,17.0,9.0,1.0,8.0,17.444444438000005,36.499999977000044,,63.8518,38.0,17.0,,42.22,9.0,47.12850015510283,89.79714602276047,33.36268760189772,9
Ukraine,25.88888889,-6.444444444,8.666666667,510.54,469.1872502860471,43733.762,43993.638,0.9941,603500.0,72.8975,48.28,51.72,53.43,64.31,33.0,60.0,26.0,34.0,5.333333331999995,0.0,,95.14016666666667,51.72,33.0,53.43,35.69,70.0,0.0,94.36042499046509,31.482953644945734,10
China,28.5,-7.777777778,12.94444444,975.36,747.1414374814195,1439323.776,1433783.686,1.0039,9706961.0,147.7068,30.17,69.83,66.38,81.47,42.0,9.0,-2.0,11.0,0.0,0.0,,90.15288,69.83,42.0,66.38,18.53,9.0,55.431186390179775,80.96876246853341,31.382676803669575,10
Algeria,34.27777778,4.555555556,17.44444444,462.28,274.58911940140695,43851.044,43053.054,1.0185,2381741.0,18.0763,51.88,48.12,55.01,65.32,36.0,32.0,10.0,22.0,10.555555552000001,0.0,,78.0763,48.12,36.0,55.01,34.68000000000001,32.0,32.36261200812288,100.0,31.33208477750768,10
Kuwait,44.72222222,7.222222222,24.66666667,104.14,1065.6685125904023,4270.571,4207.083,1.0151,17818.0,236.1142,34.04,65.96,58.97,66.72,42.0,37.0,14.0,23.0,0.0,5.0,,84.25905333333333,65.96,42.0,58.97,33.28,37.0,22.495404739063297,61.41822847381296,30.552667909138098,10
South Korea,28.83333333,-5.333333333,12.11111111,1300.48,,51269.185,51225.308,1.0009,100210.0,511.1796,26.86,73.14,82.34,61.85,,83.0,33.0,50.0,1.6666666739999982,0.0,,64.91574285714286,73.14,,82.34,38.15,100.0,44.431730849207,,30.121925441584363,8
Iraq,42.5,4.5,22.44444444,231.14,537.0604758647736,40222.493,39309.783,1.0232,438317.0,89.6835,48.77,51.23,44.57,73.57,21.0,29.0,16.0,13.0,0.0,5.0,,94.0211,51.23,21.0,44.57,26.430000000000007,29.0,52.73466662357613,92.09798413784088,29.988359422588566,10
Burkina Faso,38.27777778,18.11111111,28.27777778,789.94,462.9167361578202,20903.273,20321.378,1.0286,272967.0,74.4463,,,,,40.0,54.0,23.0,31.0,39.333333319999994,5.0,,95.03691333333333,,40.0,,,61.0,32.58327911731839,94.56944212807267,29.897268824920275,7
Pakistan,37.94444444,4.0,21.5,406.4,237.1771627517796,220892.34,216565.318,1.02,881912.0,245.5634,43.86,56.14,60.52,73.36,31.0,37.0,15.0,22.0,2.111111120000004,5.0,,83.62910666666667,56.14,31.0,60.52,26.64,37.0,0.0,100.0,29.747374724166665,10
Belarus,23.16666667,-7.722222222,5.944444444,645.16,439.3345283107952,9449.323,9452.411,0.9997,207600.0,45.5318,60.27,39.73,44.44,44.47,47.0,11.0,2.0,9.0,8.222222215999999,0.0,,96.96454666666666,39.73,47.0,44.44,55.53,11.0,0.0,95.3555157229735,28.65799000910251,10
Djibouti,37.5,19.44444444,28.5,177.8,891.8083980003674,988.0,973.56,1.0148,23200.0,41.9638,,,,,27.0,24.0,5.0,19.0,47.777777760000006,5.0,,97.20241333333334,,27.0,,,24.0,47.12850015510283,72.08940322231902,28.2589086794222,7
Bahrain,37.5,14.16666667,25.83333333,73.66,1155.035553161308,1701.575,1641.172,1.0368,765.0,2145.3229,26.15,73.85,,71.57,42.0,12.0,2.0,10.0,26.66666667999999,5.0,,7.093541999999999,73.85,42.0,,28.430000000000007,12.0,42.464961079592555,55.93306409935198,27.90343128493403,9
Azerbaijan,30.66666667,-4.222222222,13.0,480.06,413.1767444071442,10139.177,10047.718,1.0091,86600.0,116.0245,31.66,68.34,44.02,75.44,30.0,10.0,2.0,8.0,0.2222222159999916,0.0,,92.26503333333334,68.34,30.0,44.02,24.560000000000002,10.0,5.183894854796414,96.22744185309519,27.48213423732655,10
Kazakhstan,29.61111111,-17.11111111,5.944444444,294.64,430.9057294121801,18776.707,18551.427,1.0121,2724900.0,6.8081,54.02,45.98,60.09,72.62,38.0,23.0,5.0,18.0,0.0,0.0,,66.8081,45.98,38.0,60.09,27.379999999999995,23.0,0.0,95.63647568626067,25.179660980391294,10
Monaco,25.11111111,3.222222222,14.77777778,805.18,6672.075055703048,39.242,38.964,1.0071,2.0,19482.0,,,,86.76,,83.0,26.0,57.0,32.444444448,36.555555565999995,,0.0,,,,13.239999999999995,100.0,47.12850015510283,0.0,25.116781262756422,7
Mongolia,22.83333333,-26.77777778,-0.666666667,236.22,406.6746020104122,3278.29,3225.167,1.0165,1564110.0,2.062,55.64,44.36,,91.84,35.0,84.0,36.0,48.0,0.0,0.0,,62.062,44.36,35.0,,8.159999999999997,100.0,0.0,96.44417993298626,24.39913624581164,9
Iran,35.11111111,-1.111111111,16.16666667,342.9,,83992.949,82913.906,1.013,1648195.0,50.3059,49.19,50.81,52.25,76.13,25.0,16.0,6.0,10.0,0.0,5.0,,96.64627333333334,50.81,25.0,52.25,23.870000000000005,16.0,47.12850015510283,,23.75092334302726,9
Uzbekistan,35.05555556,-5.333333333,13.94444444,302.26,368.7568108936614,33469.203,32981.716,1.0148,447400.0,73.7186,34.7,65.3,,,26.0,11.0,2.0,9.0,0.0,5.0,,95.08542666666666,65.3,26.0,,,11.0,0.0,97.70810630354462,23.618345810638207,8
Russia,21.0,-21.72222222,-0.944444444,510.54,,145934.462,145872.256,1.0004,17098242.0,8.5314,40.13,59.87,58.44,62.32,30.0,20.0,5.0,15.0,0.0,0.0,,68.5314,59.87,30.0,58.44,37.68,20.0,26.836548587068215,,22.576746786691764,9
Afghanistan,35.38888889,-3.555555556,14.05555556,353.06,336.49600418506765,38928.346,38041.754,1.0233,652230.0,58.3257,76.37,23.63,,92.2,19.0,27.0,13.0,14.0,0.0,5.0,,96.11162,23.63,19.0,,7.799999999999997,27.0,47.12850015510283,98.7834665271644,22.536474167641703,9
Kyrgyzstan,27.66666667,-13.72222222,8.277777778,403.86,336.8224400847217,6524.195,6415.85,1.0169,199951.0,32.0871,55.39,44.61,,,31.0,28.0,4.0,24.0,0.0,0.0,,97.86086,44.61,31.0,,,28.0,10.160035419759659,98.77258533050927,22.18834254689181,8
Moldova,26.38888889,-6.111111111,9.722222222,525.78,,4033.963,4043.263,0.9977,33846.0,119.4606,46.56,53.44,,,34.0,61.0,26.0,35.0,4.999999997999993,0.0,,92.03596,53.44,34.0,,,71.5,10.424447590592678,,20.77127547397454,7
Sudan,38.72222222,14.88888889,27.88888889,327.66,460.9449973309959,43849.26,42813.238,1.0242,1886068.0,22.6997,,,,,16.0,17.0,2.0,15.0,24.666666680000006,5.0,,98.48668666666666,,16.0,,,17.0,0.0,94.63516675563346,20.62219917514376,7
Syria,34.88888889,3.444444444,17.72222222,345.44,,17500.658,17070.135,1.0252,185180.0,92.1813,68.09,31.91,,72.62,14.0,1.0,-3.0,4.0,7.111111108000003,0.0,,93.85458,31.91,14.0,,27.379999999999995,1.0,47.12850015510283,,17.004498064568928,8
Tajikistan,31.0,-7.222222222,11.38888889,541.02,295.4805771508038,9537.645,9321.018,1.0232,143100.0,65.1364,,,,,25.0,8.0,0.0,8.0,0.0,0.0,,95.65757333333333,,25.0,,,8.0,10.962162655827377,100.0,14.976233499322545,7
Turkmenistan,36.27777778,-2.166666667,15.38888889,172.72,1568.8196891692558,6031.2,5942.089,1.015,488100.0,12.1739,,,,,19.0,2.0,0.0,2.0,0.0,5.0,,72.1739,,19.0,,,2.0,26.814887107873044,37.33244031440219,10.926326713892202,7
