Country,max temp,min temp,avg temp,avg rainfall,Cost of Living pw,pop2020,pop2019,GrowthRate,area,Density,Crime Index,Safety Index,Health Care Index,Pollution Index,CPI score 2020,Score,Political Rights,Civil Liberties,score_temp_variability,score_temp_optimality,score_sunshine,score_density,score_safety,score_corruption,score_healthcare,score_air_purity,score_freedom,score_ppp,score_income_proxy,utility_score,data_completeness
Portugal,26.77777778,7.833333333,15.77777778,825.5,853.3765723918468,10196.709,10226.187,0.9971,92090.0,111.0456,29.89,70.11,71.93,29.57,61.0,96.0,39.0,57.0,44.22222221199999,55.388888898999994,,92.59696,70.11,61.0,71.93,70.43,100.0,48.87567784449427,74.44826930232642,63.00873725220755,10
Vanuatu,29.72222222,19.5,24.5,2499.36,1609.905957874303,307.145,299.882,1.0242,12189.0,24.6027,,,,,43.0,82.0,33.0,49.0,98.22222224000001,100.0,,98.35982,,43.0,,,100.0,33.01784709147063,35.69122162361976,62.740416659693146,7
Nicaragua,30.83333333,22.38888889,25.88888889,2623.82,501.10575342180897,6624.554,6545.502,1.0121,130373.0,50.206,48.37,51.63,,,22.0,30.0,10.0,20.0,100.0,87.50000005000003,,96.65293333333334,51.63,22.0,,,30.0,0.0,93.2964748859397,62.591213024642066,8
Rwanda,25.77777778,14.05555556,19.11111111,1191.26,579.2552358162255,12952.218,12626.95,1.0258,26338.0,479.4195,25.28,74.72,,,54.0,21.0,8.0,13.0,86.22222224,84.88888888,,67.18432142857142,74.72,54.0,,,21.0,11.15406735004261,90.69149213945914,62.02242311487957,8
Cuba,31.27777778,18.94444444,25.27777778,1120.14,764.4240121932011,11326.616,11333.483,0.9994,109884.0,103.1404,29.09,70.91,,,47.0,13.0,1.0,12.0,81.33333328,80.83333329999999,,93.12397333333334,70.91,47.0,,,13.0,47.12850015510283,79.90799372759238,61.847737515376785,8
Papua New Guinea,30.11111111,20.38888889,24.66666667,2806.7,1275.8364143140072,8947.024,8776.109,1.0195,462840.0,18.9614,80.24,19.76,,,27.0,62.0,23.0,39.0,100.0,98.33333335,,78.9614,19.76,27.0,,,73.0,19.098307482208337,49.03585466509519,61.29888930451897,8
Seychelles,31.27777778,23.72222222,26.66666667,2278.38,1208.594852824212,98.347,97.739,1.0062,452.0,216.2367,,,,,66.0,77.0,34.0,43.0,100.0,80.83333329999999,,85.58422,,66.0,,,95.5,40.088848468974454,52.64570490567979,60.79596499529089,7
Barbados,30.55555556,21.66666667,26.5,1280.16,1271.4844676429,287.375,287.025,1.0012,430.0,667.5,,,,,64.0,95.0,38.0,57.0,100.0,91.66666660000003,,53.75,,64.0,,,100.0,34.014488690701555,49.2096961075777,60.73796986864246,7
Honduras,30.77777778,21.77777778,25.44444444,1864.36,655.2496786745952,9904.607,9746.117,1.0163,112492.0,86.6383,74.78,25.22,,,24.0,44.0,19.0,25.0,100.0,88.33333329999999,,94.22411333333334,25.22,24.0,,,46.0,5.843533197038148,86.60888883384408,60.39270011963846,8
Liberia,32.05555556,21.94444444,25.11111111,2771.14,783.4074527103968,5057.681,4937.374,1.0244,111369.0,44.3335,,,,,28.0,60.0,27.0,33.0,99.11111104,69.16666659999997,,97.04443333333333,,28.0,,,70.0,100.0,78.742829356428,60.17246777686008,7
Spain,28.66666667,5.777777778,15.55555556,551.18,951.3598090184876,46754.778,46736.776,1.0004,505992.0,92.3666,33.13,66.87,78.8,39.62,62.0,90.0,37.0,53.0,28.444444431999997,48.111111134,,93.84222666666666,66.87,62.0,78.8,60.38,100.0,93.53897295773143,68.43426060957572,59.91749404468586,10
Brazil,32.27777778,17.94444444,24.5,952.5,438.8856195747117,212559.417,211049.527,1.0072,8515767.0,24.7834,67.85,32.15,57.33,54.53,38.0,74.0,31.0,43.0,65.33333328,65.83333329999999,,98.34777333333332,32.15,38.0,57.33,45.47,91.0,6.0663441800438065,95.37047934750962,59.68549561818041,10
El Salvador,31.66666667,18.61111111,23.16666667,1643.38,665.132992368702,6486.205,6453.553,1.0051,21041.0,306.7132,68.82,31.18,,,36.0,63.0,30.0,33.0,75.55555551999998,74.99999994999997,,79.52048571428571,31.18,36.0,,,74.5,75.74254367006313,86.0022714519747,58.816859061332714,8
Guyana,31.83333333,21.38888889,26.27777778,2400.3,577.4673244845542,786.552,782.766,1.0048,214969.0,3.6413,68.74,31.26,,,41.0,73.0,30.0,43.0,96.44444448000002,72.50000005000003,,63.6413,31.26,41.0,,,89.5,0.0,90.7510891838482,58.66987156492802,8
Uganda,28.83333333,15.05555556,21.5,1277.62,513.6960497547325,45741.007,44269.594,1.0332,241550.0,183.273,56.07,43.93,,,27.0,34.0,11.0,23.0,69.77777784000001,100.0,,87.7818,43.93,27.0,,,34.0,14.14450169251009,92.87679834150892,58.617832654626184,8
Tanzania,29.38888889,14.94444444,22.33333333,1074.42,,59734.218,58005.463,1.0298,945087.0,61.3758,56.64,43.36,,64.38,38.0,34.0,12.0,22.0,64.4444444,100.0,,95.90828,43.36,38.0,,35.620000000000005,34.0,60.931419200466884,,57.92095341252918,8
Puerto Rico,30.94444444,18.0,24.61111111,1666.24,1034.580553376717,2860.853,2933.408,0.9753,8870.0,330.7112,63.35,36.65,55.57,50.45,,,,,76.44444447999999,85.83333339999997,,77.80634285714285,36.65,,55.57,49.55,,33.119974521781344,63.326343202288356,57.54030519757578,8
Suriname,31.66666667,23.61111111,25.72222222,2202.18,589.8055784834362,586.632,581.372,1.009,163820.0,3.5488,,,,,38.0,79.0,34.0,45.0,100.0,74.99999994999997,,63.5488,,38.0,,,98.5,0.0,90.33981405055212,56.430538367222006,7
Venezuela,30.55555556,19.11111111,24.66666667,1115.06,,28435.94,28515.829,0.9972,916445.0,31.1157,84.25,15.75,39.67,75.12,15.0,14.0,1.0,13.0,88.44444440000001,91.66666660000003,,97.92562,15.75,15.0,39.67,24.879999999999995,14.0,47.12850015510283,,56.28081304094393,9
