Country,max temp,min temp,avg temp,avg rainfall,Cost of Living pw,pop2020,pop2019,GrowthRate,area,Density,Crime Index,Safety Index,Health Care Index,Pollution Index,CPI score 2020,Score,Political Rights,Civil Liberties
Tunisia,32.44444444,6.444444444,18.33333333,411.48,294.8104745414111,11818.619,11694.719,1.0106,163610.0,71.4792,43.4,56.6,56.16,70.85,44.0,71.0,32.0,39.0
Turkey,29.55555556,-1.5,12.33333333,652.78,357.46879501964656,84339.067,83429.615,1.0109,783562.0,106.4748,39.53,60.47,70.71,66.15,40.0,32.0,16.0,16.0
Turkmenistan,36.27777778,-2.166666667,15.38888889,172.72,1568.8196891692558,6031.2,5942.089,1.015,488100.0,12.1739,,,,,19.0,2.0,0.0,2.0
Turks And Caicos Islands,31.11111111,22.77777778,26.66666667,604.52,,38.717,38.191,1.0138,948.0,40.2859,,,,,,,,
Tuvalu,30.55555556,26.66666667,27.22222222,3472.18,,11.792,11.646,1.0125,26.0,447.9231,,,,,,93.0,37.0,56.0
U.S. Virgin Islands,31.44444444,20.88888889,26.22222222,1059.18,,,,,,,,,,,,,,
Uganda,28.83333333,15.05555556,21.5,1277.62,513.6960497547325,45741.007,44269.594,1.0332,241550.0,183.273,56.07,43.93,,,27.0,34.0,11.0,23.0
Ukraine,25.88888889,-6.444444444,8.666666667,510.54,469.1872502860471,43733.762,43993.638,0.9941,603500.0,72.8975,48.28,51.72,53.43,64.31,33.0,60.0,26.0,34.0
United Arab Emirates,40.66666667,13.44444444,27.0,129.54,1308.968914776939,9890.402,9770.529,1.0123,83600.0,116.8724,15.35,84.65,68.02,50.44,71.0,17.0,5.0,12.0
New Zealand,22.11111111,3.0,12.22222222,1267.46,1251.7072035770484,4822.233,4783.063,1.0082,270467.0,17.6845,42.26,57.74,73.58,23.81,88.0,99.0,40.0,59.0
Germany,21.72222222,-2.611111111,8.111111111,746.76,1150.562982149625,83783.942,83517.045,1.0032,357114.0,233.8666,35.42,64.58,73.77,27.48,80.0,94.0,39.0,55.0
Uruguay,29.44444444,6.888888889,16.83333333,1137.92,762.9663779780698,3473.73,3461.734,1.0035,181034.0,19.122,51.22,48.78,67.66,45.67,71.0,98.0,40.0,58.0
Uzbekistan,35.05555556,-5.333333333,13.94444444,302.26,368.7568108936614,33469.203,32981.716,1.0148,447400.0,73.7186,34.7,65.3,,,26.0,11.0,2.0,9.0
Netherlands,20.77777778,-0.222222222,9.555555556,754.38,,17134.872,17097.13,1.0022,41850.0,408.5336,27.22,72.78,75.76,25.28,82.0,98.0,40.0,58.0
Venezuela,30.55555556,19.11111111,24.66666667,1115.06,,28435.94,28515.829,0.9972,916445.0,31.1157,84.25,15.75,39.67,75.12,15.0,14.0,1.0,13.0
United Kingdom,19.83333333,1.444444444,9.333333333,754.38,1451.9510535471925,67886.011,67530.172,1.0053,242900.0,278.0164,45.26,54.74,74.93,40.25,77.0,93.0,39.0,54.0
Wake Island,31.33333333,22.44444444,26.94444444,909.32,,,,,,,,,,,,,,
Wallis And Futuna,30.55555556,23.88888889,27.0,3309.62,,11.239,11.432,0.9831,142.0,80.507,,,,,,,,
West Bank,,,15.38888889,604.52,,,,,,,,,,,,25.0,4.0,21.0
Western Sahara,29.88888889,13.0,21.0,68.58,,597.339,582.463,1.0255,266000.0,2.1897,,,,,,4.0,-3.0,7.0
Yemen,33.77777778,20.66666667,27.05555556,53.34,535.3202929473836,29825.964,29161.922,1.0228,527968.0,55.2343,,,,,15.0,11.0,1.0,10.0
Zambia,31.72222222,8.722222222,21.0,1043.94,486.6299550226719,18383.955,17861.03,1.0293,752612.0,23.7321,43.22,56.78,,,33.0,52.0,20.0,32.0
Zimbabwe,29.05555556,7.166666667,19.66666667,764.54,655.8748452689341,14862.924,14645.468,1.0148,390757.0,37.4797,58.88,41.12,,74.44,24.0,28.0,11.0,17.0
