Country,max temp,min temp,avg temp,avg rainfall,Cost of Living pw,pop2020,pop2019,GrowthRate,area,Density,Crime Index,Safety Index,Health Care Index,Pollution Index,CPI score 2020,Score,Political Rights,Civil Liberties
Gabon,30.44444444,19.88888889,24.77777778,1930.4,1166.1081276630985,2225.734,2172.579,1.0245,267668.0,8.1167,,,,,30.0,22.0,3.0,19.0
Gaza Strip,,,18.88888889,299.72,,,,,,,,,,,,11.0,3.0,8.0
Georgia,27.05555556,2.111111111,14.0,878.84,445.6375593892662,3989.167,3996.765,0.9981,69700.0,57.3424,22.62,77.38,53.83,69.7,56.0,60.0,23.0,37.0
New Caledonia,29.88888889,16.05555556,23.16666667,1440.18,1271.7283567010757,285.498,282.75,1.0097,18575.0,15.2221,,,,,,,,
Ghana,31.94444444,23.5,26.77777778,1183.64,681.0596670560831,31072.94,30417.856,1.0215,238533.0,127.5205,48.52,51.48,,88.98,43.0,82.0,35.0,47.0
Gibraltar,27.77777778,11.11111111,18.33333333,833.12,1724.709621284795,33.691,33.701,0.9997,6.0,5616.8333,,,,,,,,
Glorioso Islands,30.55555556,22.77777778,27.22222222,,,,,,,,,,,,,,,
Greece,30.5,5.333333333,16.94444444,642.62,752.8463482946538,10423.054,10473.455,0.9952,131990.0,79.3504,44.14,55.86,56.96,51.95,50.0,87.0,37.0,50.0
Greenland,7.888888889,-18.94444444,-5.333333333,574.04,1748.1930833639287,56.77,56.672,1.0017,2166086.0,0.0262,,,,,,,,
Grenada,30.0,22.5,26.11111111,1943.1,,112.523,112.003,1.0046,344.0,325.5901,,,,,53.0,89.0,37.0,52.0
Guadeloupe,31.38888889,20.22222222,25.44444444,1780.54,,400.124,400.056,1.0002,1628.0,245.7346,,,,,,,,
Guam,30.5,22.88888889,26.72222222,2280.92,1734.5885038551144,168.775,167.294,1.0089,549.0,304.725,,,,,,,,
Guatemala,29.88888889,19.33333333,20.72222222,1584.96,632.8568256789484,17915.568,17581.472,1.019,108889.0,161.4623,58.15,41.85,65.94,72.49,25.0,52.0,21.0,31.0
Guinea,32.94444444,20.38888889,25.61111111,2156.46,,13132.795,12771.246,1.0283,245857.0,51.9458,,,,,28.0,38.0,14.0,24.0
Guinea-Bissau,33.55555556,19.22222222,27.0,1818.64,,1968.001,1920.922,1.0245,36125.0,53.1743,,,,,,44.0,17.0,27.0
Guyana,31.83333333,21.38888889,26.27777778,2400.3,577.4673244845542,786.552,782.766,1.0048,214969.0,3.6413,68.74,31.26,,,41.0,73.0,30.0,43.0
Haiti,31.0,18.33333333,24.83333333,1516.38,990.7997974019212,11402.528,11263.077,1.0124,27750.0,405.8766,,,,,18.0,37.0,15.0,22.0
Holy See,28.33333333,3.888888889,15.55555556,802.64,,,,,,,,,,,,,,
Honduras,30.77777778,21.77777778,25.44444444,1864.36,655.2496786745952,9904.607,9746.117,1.0163,112492.0,86.6383,74.78,25.22,,,24.0,44.0,19.0,25.0
Hungary,25.94444444,-3.722222222,10.16666667,576.58,569.3819392124083,9660.351,9684.679,0.9975,93028.0,104.105,34.81,65.19,51.64,47.81,44.0,69.0,26.0,43.0
Iceland,13.11111111,-3.777777778,3.611111111,967.74,1595.7301416815972,341.243,339.031,1.0065,103000.0,3.2916,24.13,75.87,65.69,16.24,75.0,94.0,37.0,57.0
India,35.83333333,10.72222222,24.22222222,1267.46,354.63096910116394,1380004.385,1366417.754,1.0099,3287590.0,415.629,44.72,55.28,66.25,79.62,40.0,67.0,34.0,33.0
Indian Ocean Island,30.55555556,24.44444444,27.22222222,,,,,,,,,,,,,,,
Indonesia,31.11111111,21.77777778,26.33333333,2362.2,485.8339616919646,273523.615,270625.568,1.0107,1904569.0,142.0928,46.23,53.77,60.49,67.08,37.0,59.0,30.0,29.0
Iran,35.11111111,-1.111111111,16.16666667,342.9,,83992.949,82913.906,1.013,1648195.0,50.3059,49.19,50.81,52.25,76.13,25.0,16.0,6.0,10.0
Iraq,42.5,4.5,22.44444444,231.14,537.0604758647736,40222.493,39309.783,1.0232,438317.0,89.6835,48.77,51.23,44.57,73.57,21.0,29.0,16.0,13.0
Ireland,18.38888889,2.944444444,9.666666667,1036.32,1516.9838758723429,4937.786,4882.495,1.0113,70273.0,69.479,45.02,54.98,52.78,33.59,72.0,97.0,39.0,58.0
Isle Of Man,18.77777778,3.666666667,10.11111111,899.16,1195.5335780213616,85.033,84.584,1.0053,572.0,147.8741,20.79,79.21,,,,,,
Israel,32.72222222,7.055555556,19.33333333,467.36,1355.5777541108814,8655.535,8519.377,1.016,20770.0,410.177,31.21,68.79,73.76,58.42,60.0,76.0,33.0,43.0
Italy,27.33333333,2.555555556,13.5,772.16,1057.2955807268124,60461.826,60550.075,0.9985,301336.0,200.9387,44.37,55.63,66.77,53.93,53.0,90.0,36.0,54.0
Jamaica,31.05555556,20.72222222,25.38888889,1348.74,1260.2440261032589,2961.167,2948.279,1.0044,10991.0,268.2448,67.53,32.47,,66.27,44.0,80.0,34.0,46.0
Japan,28.77777778,0.222222222,13.94444444,1717.04,1223.4872407949747,126476.461,126860.301,0.997,377930.0,335.6714,21.95,78.05,80.68,39.4,74.0,96.0,40.0,56.0
Jordan,33.11111111,4.611111111,18.61111111,200.66,606.0444952277186,10203.134,10101.694,1.01,89342.0,113.0677,40.73,59.27,65.38,76.09,49.0,34.0,11.0,23.0
Juan De Nova Island,30.55555556,23.33333333,27.22222222,,,,,,,,,,,,,,,
Kazakhstan,29.61111111,-17.11111111,5.944444444,294.64,430.9057294121801,18776.707,18551.427,1.0121,2724900.0,6.8081,54.02,45.98,60.09,72.62,38.0,23.0,5.0,18.0
Kenya,29.16666667,15.11111111,20.83333333,1084.58,531.9812802944178,53771.296,52573.973,1.0228,580367.0,90.5875,61.4,38.6,55.83,75.88,31.0,48.0,19.0,29.0
Kiribati,30.72222222,24.77777778,27.22222222,1511.3,,119.449,117.606,1.0157,811.0,145.0136,,,,,,93.0,37.0,56.0
Kosovo,27.44444444,-4.0,10.66666667,716.28,,,,,,,,,,,36.0,54.0,23.0,31.0
Kuwait,44.72222222,7.222222222,24.66666667,104.14,1065.6685125904023,4270.571,4207.083,1.0151,17818.0,236.1142,34.04,65.96,58.97,66.72,42.0,37.0,14.0,23.0
Kyrgyzstan,27.66666667,-13.72222222,8.277777778,403.86,336.8224400847217,6524.195,6415.85,1.0169,199951.0,32.0871,55.39,44.61,,,31.0,28.0,4.0,24.0
Laos,33.22222222,14.55555556,24.66666667,1701.8,,7275.56,7169.455,1.0148,236800.0,30.2764,,,,78.76,29.0,13.0,2.0,11.0
Latvia,20.16666667,-6.0,6.055555556,589.28,669.9920938532808,1886.198,1906.743,0.9892,64559.0,29.5349,37.21,62.79,62.18,33.91,57.0,89.0,37.0,52.0
Lebanon,28.77777778,4.444444444,15.88888889,861.06,1078.7412487979468,6825.445,6855.713,0.9956,10452.0,655.9236,46.96,53.04,63.29,89.35,25.0,43.0,13.0,30.0
Lesotho,27.16666667,-0.111111111,13.55555556,734.06,,2142.249,2125.268,1.008,30355.0,70.0138,,,,,41.0,63.0,27.0,36.0
Liberia,32.05555556,21.94444444,25.11111111,2771.14,783.4074527103968,5057.681,4937.374,1.0244,111369.0,44.3335,,,,,28.0,60.0,27.0,33.0
Libya,33.16666667,6.888888889,20.16666667,187.96,603.3049984241751,6871.292,6777.452,1.0138,1759540.0,3.8518,62.0,38.0,,57.78,17.0,9.0,1.0,8.0
Liechtenstein,23.88888889,-2.777777778,9.833333333,924.56,1625.1201864575337,38.128,38.019,1.0029,160.0,237.6188,,,,,,90.0,33.0,57.0
Lithuania,21.16666667,-7.0,6.333333333,668.02,624.1198475975893,2722.289,2759.627,0.9865,65300.0,42.2608,33.84,66.16,70.97,27.01,60.0,90.0,38.0,52.0
Luxembourg,21.94444444,-2.055555556,8.166666667,822.96,1802.5295764321156,625.978,615.729,1.0166,2586.0,238.1009,32.15,67.85,,23.27,80.0,97.0,38.0,59.0
Macedonia,28.55555556,-2.555555556,11.61111111,556.26,,2083.374,2083.459,1.0,25713.0,81.0275,,,,,,,,
Madagascar,28.61111111,14.61111111,21.88888889,1701.8,538.2709515675303,27691.018,26969.307,1.0268,587041.0,45.9411,,,,,25.0,60.0,27.0,33.0
Malawi,30.11111111,10.88888889,21.38888889,1109.98,,19129.952,18628.747,1.0269,118484.0,157.2258,,,,,30.0,66.0,29.0,37.0
Malaysia,31.38888889,22.22222222,26.27777778,2669.54,450.9310224929818,32365.999,31949.777,1.013,330803.0,96.5825,57.89,42.11,69.59,62.58,51.0,51.0,21.0,30.0
Maldives,31.27777778,24.61111111,27.83333333,2108.2,884.1397370236529,540.544,530.953,1.0181,300.0,1769.8433,55.99,44.01,,,43.0,40.0,19.0,21.0
Mali,38.38888889,17.72222222,28.38888889,655.32,,20250.833,19658.031,1.0302,1240192.0,15.8508,,,,,30.0,33.0,9.0,24.0
Malta,31.0,9.555555556,18.72222222,558.8,1201.3693180373832,441.543,440.372,1.0027,316.0,1393.5823,38.93,61.07,67.12,77.76,53.0,90.0,35.0,55.0
Marshall Islands,30.33333333,24.33333333,27.38888889,2565.4,,59.19,58.791,1.0068,181.0,324.8122,,,,,,93.0,38.0,55.0
Martinique,31.16666667,21.72222222,26.05555556,1884.68,,375.265,375.554,0.9992,1128.0,332.9379,,,,,,,,
Mauritania,37.72222222,16.05555556,27.83333333,187.96,,4649.658,4525.696,1.0274,1030700.0,4.3909,,,,,29.0,35.0,14.0,21.0
Mauritius,28.83333333,18.61111111,23.77777778,1549.4,662.0581646630776,1271.768,1269.668,1.0017,2040.0,622.3863,47.89,52.11,,56.19,53.0,87.0,37.0,50.0
Mayotte,31.11111111,21.11111111,25.55555556,1143.0,,272.815,266.15,1.025,374.0,711.631,,,,,,,,
Vanuatu,29.72222222,19.5,24.5,2499.36,1609.905957874303,307.145,299.882,1.0242,12189.0,24.6027,,,,,43.0,82.0,33.0,49.0
