Country,max temp,min temp,avg temp,avg rainfall
Kenya,29.16666667,15.11111111,20.83333333,1084.58
Kiribati,30.72222222,24.77777778,27.22222222,1511.3
Kosovo,27.44444444,-4,10.66666667,716.28
Kuwait,44.72222222,7.222222222,24.66666667,104.14
Kyrgyzstan,27.66666667,-13.72222222,8.277777778,403.86
Laos,33.22222222,14.55555556,24.66666667,1701.8
Latvia,20.16666667,-6,6.055555556,589.28
Lebanon,28.77777778,4.444444444,15.88888889,861.06
Lesotho,27.16666667,-0.111111111,13.55555556,734.06
Liberia,32.05555556,21.94444444,25.11111111,2771.14
Libya,33.16666667,6.888888889,20.16666667,187.96
Liechtenstein,23.88888889,-2.777777778,9.833333333,924.56
Lithuania,21.16666667,-7,6.333333333,668.02
Luxembourg,21.94444444,-2.055555556,8.166666667,822.96
Macedonia,28.55555556,-2.555555556,11.61111111,556.26
Madagascar,28.61111111,14.61111111,21.88888889,1701.8
Malawi,30.11111111,10.88888889,21.38888889,1109.98
Malaysia,31.38888889,22.22222222,26.27777778,2669.54
Maldives,31.27777778,24.61111111,27.83333333,2108.2
Mali,38.38888889,17.72222222,28.38888889,655.32
Malta,31,9.555555556,18.72222222,558.8
Marshall islands,30.33333333,24.33333333,27.38888889,2565.4
Martinique,31.16666667,21.72222222,26.05555556,1884.68
Mauritania,37.72222222,16.05555556,27.83333333,187.96
Mauritius,28.83333333,18.61111111,23.77777778,1549.4
Mayotte,31.11111111,21.11111111,25.55555556,1143
Vanuatu,29.72222222,19.5,24.5,2499.36
Moldova,26.38888889,-6.111111111,9.722222222,525.78
Monaco,25.11111111,3.222222222,14.77777778,805.18
Mongolia,22.83333333,-26.77777778,-0.666666667,236.22
Montenegro,27.66666667,0.277777778,12.88888889,1363.98
Montserrat,,,27.22222222,1788.16
Morocco,30.72222222,6.388888889,17.5,429.26
Mozambique,31.5,15.44444444,23.72222222,970.28
Myanmar,34.83333333,14.05555556,25.83333333,2461.26
Namibia,28.38888889,7.777777778,20.16666667,309.88
Nauru,30.83333333,24.44444444,27.22222222,2065.02
Nepal,29.05555556,1.777777778,18.72222222,1564.64
Argentina,29.66666667,4,17.38888889,871.22
Netherlands antilles,31.72222222,23,27.5,487.68
Australia,29.44444444,6,17.44444444,782.32
Colombia,29.27777778,19.88888889,23.11111111,1783.08
Nicaragua,30.83333333,22.38888889,25.88888889,2623.82
Niger,39.61111111,15.22222222,28.33333333,584.2
Nigeria,34.22222222,19.05555556,26.72222222,1282.7
Niue,29.44444444,20.55555556,24.44444444,2062.48
Norfolk island,25,13.05555556,18.61111111,1313.18
North korea,26.27777778,-12.16666667,7.833333333,916.94
Northern mariana islands,30.72222222,23,26.77777778,2115.82
Norway,16.11111111,-6.888888889,4.333333333,1122.68
Oceania,30.22222222,11.77777778,26,1651
Oman,37.33333333,14.55555556,26.55555556,96.52
Pakistan,37.94444444,4,21.5,406.4
Palau,31.05555556,18.77777778,27.16666667,3357.88
South korea,28.83333333,-5.333333333,12.11111111,1300.48
Papua new guinea,30.11111111,20.38888889,24.66666667,2806.7
Paracel islands,31.11111111,22.22222222,26.38888889,1242.06
Paraguay,32.72222222,12.5,22.27777778,1574.8
Spain,28.66666667,5.777777778,15.55555556,551.18
Philippines,32.05555556,21.5,26.55555556,2451.1
Pitcairn islands,26.22222222,16,20,1630.68
Poland,23.83333333,-8.444444444,7,624.84
Ecuador,27.72222222,18.22222222,19.44444444,1036.32
Portugal,26.77777778,7.833333333,15.77777778,825.5
Qatar,40.22222222,13.33333333,26.72222222,78.74
Republic of congo,30.72222222,18.44444444,24.11111111,1531.62
Reunion,29.61111111,19.05555556,24.33333333,1653.54
Romania,25.22222222,-5.333333333,8.666666667,627.38
Russia,21,-21.72222222,-0.944444444,510.54
Rwanda,25.77777778,14.05555556,19.11111111,1191.26
Saint barthélemy,32.22222222,22.77777778,28.33333333,
Saint helena,19.66666667,9.888888889,15.94444444,1742.44
Saint kitts and nevis,31.11111111,21.83333333,26.33333333,1160.78
Saint lucia,30.61111111,23.55555556,27.5,1645.92
Saint martin,32.22222222,22.77777778,26.94444444,1023.62
Saint pierre and miquelon,,,5,1275.08
Saint vincent and the grenadines,31.11111111,23.88888889,25.27777778,1927.86
Samoa,30,23.33333333,26.11111111,2857.5
San marino,26.38888889,0.722222222,12.77777778,828.04
Sao tome and principe,29.33333333,21.38888889,25.38888889,1744.98
Saudi arabia,38.44444444,10.44444444,25.33333333,124.46
Senegal,35.77777778,17.33333333,27.5,632.46
Serbia,26.61111111,-3.666666667,10.11111111,701.04
Seychelles,31.27777778,23.72222222,26.66666667,2278.38
Sierra leone,32.88888889,21.11111111,26.11111111,2720.34
Bolivia,26.5,6.055555556,17.16666667,853.44
Sint maarten,30.55555556,22.22222222,26.38888889,
Slovakia,22.27777778,-7.111111111,6.222222222,665.48
Slovenia,22.61111111,-4.888888889,8,1247.14
Solomon islands,30.61111111,22.72222222,26.27777778,3213.1
Somalia,33.11111111,19.5,26.61111111,312.42
South africa,27.5,4.611111111,16.94444444,670.56
South georgia and the south sandwich islands,8.333333333,-2.777777778,1.666666667,1473.2
Tonga,25.88888889,19,24.72222222,1765.3
South sudan,37.11111111,19,26.61111111,1041.4
Peru,24.33333333,9.166666667,15.83333333,622.3
Sri lanka,31.16666667,21.83333333,25.38888889,1841.5
Sudan,38.72222222,14.88888889,27.88888889,327.66
Suriname,31.66666667,23.61111111,25.72222222,2202.18
Sweden,20.5,-8.555555556,4.611111111,574.04
Switzerland,20.22222222,-5.833333333,5.833333333,1186.18
Syria,34.88888889,3.444444444,17.72222222,345.44
Taiwan,31.05555556,12.22222222,21.88888889,1513.84
Tajikistan,31,-7.222222222,11.38888889,541.02
Tanzania,29.38888889,14.94444444,22.33333333,1074.42
Canada,22.77777778,-15.61111111,3.333333333,876.3
The bahamas,31.77777778,18.55555556,24.83333333,1173.48
The gambia,37.55555556,16.38888889,28,927.1
Togo,34.66666667,20.94444444,26.55555556,1262.38
Tokelau,,,27.22222222,2794
Chile,22.77777778,4.888888889,12.27777778,1061.72
Trinidad and tobago,31.16666667,22.22222222,26.38888889,1485.9
Tromelin island,30,22.77777778,26.66666667,
Tunisia,32.44444444,6.444444444,18.33333333,411.48
Turkey,29.55555556,-1.5,12.33333333,652.78
Turkmenistan,36.27777778,-2.166666667,15.38888889,172.72
Turks and caicos islands,31.11111111,22.77777778,26.66666667,604.52
Tuvalu,30.55555556,26.66666667,27.22222222,3472.18
U.s. virgin islands,31.44444444,20.88888889,26.22222222,1059.18
Uganda,28.83333333,15.05555556,21.5,1277.62
Ukraine,25.88888889,-6.444444444,8.666666667,510.54
United arab emirates,40.66666667,13.44444444,27,129.54
New zealand,22.11111111,3,12.22222222,1267.46
Germany,21.72222222,-2.611111111,8.111111111,746.76
Uruguay,29.44444444,6.888888889,16.83333333,1137.92
Uzbekistan,35.05555556,-5.333333333,13.94444444,302.26
Netherlands,20.77777778,-0.222222222,9.555555556,754.38
Venezuela,30.55555556,19.11111111,24.66666667,1115.06
United kingdom,19.83333333,1.444444444,9.333333333,754.38
Wake island,31.33333333,22.44444444,26.94444444,909.32
Wallis and futuna,30.55555556,23.88888889,27,3309.62
West bank,,,15.38888889,604.52
Western sahara,29.88888889,13,21,68.58
Yemen,33.77777778,20.66666667,27.05555556,53.34
Zambia,31.72222222,8.722222222,21,1043.94
Zimbabwe,29.05555556,7.166666667,19.66666667,764.54
