Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,,,,,,,,,,,,,,,,,,,,
Burundi,71.1482524,71.63783578,73.82513027,77.70021656,81.12595689,92.25499909,103.6901241,134.9562634,148.7354438,168.5441076,186.5851961,207.6239084,206.4917709,226.944174,250.0468213,288.1829431,287.6778928,303.3303243,369.5950421,405.1614325,434.7831758,461.509209,527.053109,539.3112025,547.0995245,570.658997,585.8931003,654.8960025,621.308264,615.4304413,680.4128201,,,,,,,,,,,,,,,,,,,,
Belgium,0.915381,0.910908,0.921111,0.935723,0.935347,0.927321,0.929897,0.927803,0.935637,0.931348,0.899723,0.892244,0.8733,0.877016,0.889063,0.891788,0.87544,0.880041,0.86694,0.849484,0.835934,0.831911,0.822137,0.806166,0.800214,0.799998,0.781011,0.775634,0.765017,0.757838,0.75128,,,,,,,,,,,,,,,,,,,,
Benin,86.07063042,83.88506639,84.49709064,84.50455949,110.4582415,124.5257437,130.7333264,133.2305682,138.6402415,202.7353458,206.9107786,206.4589868,210.4678722,212.9569844,208.9702136,211.3589812,209.4471997,204.7638305,213.7803223,217.5512045,216.9396925,220.4335752,234.0041765,231.4771949,225.0442268,220.5238942,214.4338881,216.7735939,212.9395712,208.5402226,211.9744359,,,,,,,,,,,,,,,,,,,,
Burkina Faso,162.4394771,150.891444,147.86438,142.359515,159.7873933,167.1005153,164.6680629,164.3958125,175.4743378,203.0590027,196.9907302,200.3989944,203.3093062,202.5660664,197.4343407,198.6299302,191.5176452,191.1559775,204.6840722,208.0219072,213.397751,223.1158259,238.9786626,231.0792324,231.3259255,225.4159149,215.1966725,208.7571974,208.0071954,203.0663011,209.844696,,,,,,,,,,,,,,,,,,,,
Bangladesh,13.54189366,13.4564594,13.49635727,13.20449514,13.44119353,14.10578413,14.43871662,14.73336072,15.2594161,15.61098841,15.79593198,15.9609707,16.32410159,16.95854499,17.26734344,17.51374308,17.99817786,18.66158445,19.74450843,20.92060888,22.15712999,23.40955539,23.78735173,24.96619826,25.81887799,27.28372931,28.49883065,29.73817441,30.66644252,31.47202134,32.80880906,,,,,,,,,,,,,,,,,,,,
Bulgaria,0.000691143,0.002183018,0.00340601,0.005027071,0.008500484,0.019646785,0.038280397,0.39832269,0.518766694,0.525165651,0.535800163,0.555721047,0.558289278,0.560403672,0.580729354,0.596499288,0.619052887,0.657230263,0.677681308,0.692689165,0.67642103,0.701074892,0.692813663,0.680007503,0.661227941,0.678701287,0.666665741,0.676280533,0.681836057,0.698548525,0.702638963,,,,,,,,,,,,,,,,,,,,
Bahrain,0.119323778,0.113247717,0.106812901,0.101183617,0.10633101,0.105283119,0.103593407,0.102786167,0.094468859,0.095598113,0.121551944,0.11494198,0.117015591,0.124764948,0.134847586,0.148735823,0.157132542,0.165930315,0.181262651,0.156516287,0.166225912,0.178678498,0.175509304,0.180676997,0.1838682,0.1867311,0.189881027,0.187117711,0.190671886,0.187683144,0.17674733,,,,,,,,,,,,,,,,,,,,
"Bahamas, The",1.026741955,1.018546274,1.034745363,1.002184934,1.002655809,0.989944017,0.981712028,0.983673859,1.002385984,0.990332007,0.977607882,0.960011308,0.982494349,0.975717046,0.96148796,0.9795951,0.958693504,0.961130643,0.95682522,0.93974843,0.92528002,0.898563445,0.91523546,0.903084576,0.904266655,0.936313272,0.924120188,0.901406765,0.890766978,0.901577026,0.881503545,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,,,,,0.659406539,0.703006237,0.572611435,0.636147008,0.619115367,0.66129911,0.684955745,0.704196041,0.715735982,0.717488885,0.714973017,0.723431435,0.719422182,0.731969993,0.752858794,0.734656677,0.731688447,0.718162098,0.705937888,0.686155378,0.687203279,0.694093036,0.675567653,0.680665142,0.67451556,0.674724448,0.663356494,,,,,,,,,,,,,,,,,,,,
Belarus,8.13E-09,1.65E-08,1.83E-07,2.07E-06,4.13E-05,0.000309008,0.000466448,0.000787084,0.001374368,0.005646749,0.015757401,0.027682782,0.039486042,0.050661626,0.060519888,0.069826756,0.075060676,0.082506654,0.098101039,0.106372948,0.11701939,0.196053222,0.320173144,0.373921454,0.448664755,0.525160432,0.563757062,0.609042823,0.666962294,0.711792768,0.77431014,,,,,,,,,,,,,,,,,,,,
